"id","name","location","round_1","round_2","round_3","round_4","round_4","time","total"
325,"БИБЛИОвектор ДОБРА","р.п. Мишкино Курганская область","4","7","4","2","7","11:07:12593","24"
326,"Супер интеллектуалы","Калач","5","6","4","2","7","11:07:07966","24"
327,"Культурная молодежь","Морозовск","4","5","5","4","6","11:07:23880","24"
328,"Саратов","Саратов","5","6","4","4","5","11:07:13010","24"
329,"Бригада что надо","Кемерово","5","6","4","4","5","11:07:17769","24"
330,"Факел","Моршанск","2","9","4","5","4","11:08:03489","24"
331,"Педагоги.ру","пос. Сергеевский, Гайнский МО","5","7","4","4","4","11:07:16613","24"
332,"Стрижи","Чебоксары","0","0","5","3","15","11:07:13156","23"
333,"Темп","Артемовск","3","2","5","1","12","11:07:33495","23"
334,"Деление на нуль","Антрацит","3","4","3","1","12","11:07:27761","23"
335,"волшебники","Липецкая область Добровский район с.Доброе","3","1","3","5","11","11:07:28894","23"
336,"Ратибор","С. Шалинское","4","1","3","4","11","11:06:41371","23"
337,"Огнедышащие тапки","Чебоксары","5","1","3","3","11","11:07:11074","23"
338,"Назарик","Воронеж","5","1","2","5","10","11:07:13517","23"
339,"Школа 2","Алушта","5","2","1","5","10","11:07:07271","23"
340,"Русичи 607110","Натальино","4","3","2","4","10","11:07:04230","23"
341,"Патриоты Наруксова","Наруксово","5","2","2","4","10","11:07:16430","23"
342,"Факел","с. Боготол","3","5","3","2","10","11:08:03489","23"
343,"Витязъ","Мурманск","5","4","3","1","10","11:07:04781","23"
344,"Владыки знаний","Село Нижний Икорец","2","5","5","2","9","11:07:01543","23"
345,"Золотая звезда","Тамбовская область, Никифоровский район, р.п.Дмитриевка","1","5","5","4","8","11:07:14202","23"
346,"Сибирские пчёлки","Междуреченск","4","3","4","4","8","11:07:10741","23"
347,"МБОУ ""Шумерлинская СОШ""","Шумерлинский район, д. Шумерля","4","4","3","4","8","11:07:08128","23"
348,"Октябрята","Воронеж","4","6","2","3","8","11:07:04365","23"
349,"Brain storm","Пенза","2","6","5","2","8","11:06:57343","23"
350,"Раздолье","Саратов","4","6","3","2","8","11:07:06398","23"
351,"Новое время","Зориковка","2","5","5","4","7","11:07:10004","23"
352,"Заозерск","Заозерск","3","6","4","3","7","11:07:12727","23"
353,"Молодые патриоты","Елец","4","5","4","3","7","11:07:40652","23"
354,"Веселые девчата","Апатиты","4","6","3","3","7","11:07:29888","23"
355,"Притамбовье","Тамбов","4","4","5","4","6","11:07:31417","23"
356,"Во!","Воротынец","4","6","3","5","5","11:07:10597","23"
357,"Неудержимые","Репьёвка Воронежская область","5","6","5","2","5","11:07:19258","23"
358,"Победоносцы","Данков","5","8","5","3","2","11:07:14682","23"
359,"команда ""Молодая гвардия""","Краснодон","0","7","0","2","13","11:07:05873","22"
360,"Вперёд, Россия!","Липецкая область, Задонский район, село Кашары","2","4","1","3","12","11:06:49501","22"
361,"Валдайцы","Валдай","3","2","3","4","10","11:07:03200","22"
362,"Плеяда","Петровск","4","1","3","4","10","11:07:12488","22"
363,"Камарчагские ребята","Посёлок Камарчага","4","2","3","3","10","11:07:22734","22"
364,"Кренделечки","Чита","4","2","4","2","10","11:07:23816","22"
365,"МБОУ""Напольновская СОШ""","Напольное","4","2","2","5","9","11:07:01437","22"
366,"Жигули","Тольятти","2","4","4","3","9","11:07:12721","22"
367,"Теремок","Р.п. Ветлужский","3","3","4","3","9","11:07:26241","22"
368,"Молодежь XXI века","Навашино","5","4","2","2","9","11:07:10341","22"
369,"Дружный интеллект","Шадринск","4","4","4","1","9","11:07:04393","22"
370,"Наследники","Гуково","4","4","3","3","8","11:07:06306","22"
371,"Легион","Елец","3","4","5","2","8","11:07:25408","22"
372,"Комета","село Красноселовка","5","3","4","2","8","11:07:24952","22"
373,"Умники и умницы","село Большая Елга","5","4","3","2","8","11:08:26632","22"
374,"Команда имени меня","Оренбург","3","2","5","5","7","11:06:16260","22"
375,"Крестоносцы звёздной пыли","Саратов","3","4","4","4","7","11:07:15976","22"
376,"ЗаРоссию","Елецкий район","4","3","5","3","7","11:07:11260","22"
377,"Буденовцы","Пролетарск","3","5","4","3","7","11:07:12335","22"
378,"Сударушка","Курск","6","1","5","4","6","11:07:07427","22"
379,"Жуковцы","Краснодар","5","3","4","4","6","11:07:13063","22"
380,"Зайчики","Ровеньки","4","5","3","4","6","11:07:25689","22"
381,"Первоцветы","Курская область","5","4","4","3","6","11:07:34372","22"
382,"Пятнашки","Самара","6","5","3","2","6","11:07:14648","22"
383,"Полянские огоньки надежды","Курский район","5","7","2","2","6","11:07:02564","22"
384,"Молодёжное единство МБОУ «Гимназия 1 г.Новопавловска»","Новопавловск","4","4","5","4","5","11:07:10948","22"
385,"ЦДТ Успех","Нижний Новгород","4","6","3","4","5","11:07:21742","22"
386,"Краснолучские знатоки","Красный Луч","5","6","4","2","5","11:07:44762","22"
387,"Мы дети России","с Крутой Майдан","5","5","4","4","4","11:06:30793","22"
388,"Совет молодежи при молодежном коворкинг- центре города Тосно","Тосно","4","8","3","3","4","11:07:26233","22"
389,"Библиотека Полярного","Полярный","4","5","5","5","3","11:07:10951","22"
390,"Юнландия","Борисоглебск","5","11","3","4","-1","11:07:16968","22"
391,"Winx","Чебоксары","2","3","3","1","12","11:07:32603","21"
392,"Пермяки","Пермь","2","1","4","3","11","11:07:12879","21"
393,"Игуаны","Таштып","3","2","4","1","11","11:06:28209","21"
394,"Нижегородские знатоки","Нижний новгород","3","2","4","1","11","11:07:25485","21"
395,"Время тайн","Новокуйбышевск","4","0","3","4","10","11:06:57267","21"
396,"Юные патриотки","Гатчина","3","4","2","3","9","11:07:06430","21"
397,"Беляевка","село Беляевка","5","2","2","3","9","11:07:13819","21"
398,"Клуб Слобода","Чаплыгин","3","3","4","2","9","11:07:14350","21"
399,"Борщевской фелиал МБОУ Заворонежская СОШ Мичуринского района","Тамбов","4","5","3","0","9","11:07:05451","21"
400,"Рисковые и отважные","Тамбовская область, Никифоровский район, р.п. Дмитриевка","1","3","5","4","8","11:07:15678","21"
401,"Саяны","Саянский район село Агинское","4","2","3","4","8","11:07:04459","21"
402,"ПК ""Октябрята""","п.Октябрьский Туапсинский район","2","5","5","1","8","11:07:12789","21"
403,"Мичуринский Волонтерский Корпус","Мичуринск","3","5","4","1","8","11:07:04969","21"
404,"МедиУМ","Курск","4","5","3","1","8","11:06:58858","21"
405,"Лисички","Набережные Челны","3","5","3","3","7","11:07:19742","21"
406,"10 Совет","г. Чебоксары","5","3","4","2","7","11:07:33892","21"
407,"МК РГО","Владимир","6","3","3","2","7","11:06:26502","21"
408,"Россияночка","Железногорск","5","9","0","0","7","11:07:26353","21"
409,"Взлёт!","Дмитровский г.о., п. Новосиньково","0","5","5","5","6","11:07:12783","21"
410,"МАОУ Ветлужская ОШ","р.п.Ветлужский","4","4","4","3","6","11:07:15886","21"
411,"безумные игроки","Москва","4","8","0","3","6","11:06:54778","21"
412,"Белый кролик","Острогожск","5","3","5","2","6","11:08:44499","21"
413,"Патриоты БГК","Городской округ город Бор","6","3","3","4","5","11:07:51658","21"
414,"Соколята","Новосибирск","4","5","4","3","5","11:07:13434","21"
415,"ЩИТ","Ст.Старощербиновская","4","6","4","2","5","11:07:44135","21"
416,"Трио","Мадмас","5","4","4","4","4","11:07:45682","21"
417,"Сабинский СДК","село Сабинка","4","6","3","4","4","11:06:27932","21"
418,"«VРЕМЯ Z»","д Студенок, Железногорского района Курской области.","4","5","6","2","4","11:07:02794","21"
419,"Патриоты","Ртищево","5","6","4","2","4","11:07:25594","21"
420,"Триколор","село Половинное","4","5","5","4","3","11:07:19568","21"
421,"В ногу со временем 2","Ноябрьск","2","8","4","4","3","11:07:04437","21"
422,"Знатоки","город Данков","5","7","5","3","1","11:07:11979","21"
423,"Десант","Озёрки","4","8","5","4","0","0","21"
424,"Патриоты СОШ45","Чебоксары","4","2","2","1","11","11:07:06098","20"
425,"Отряд фадеевцев","г. Самара","4","-2","4","4","10","11:06:59947","20"
426,"Пошумим","Шумиха","3","2","3","2","10","11:07:15646","20"
427,"Ленин","Грудцино","4","0","5","1","10","11:07:31602","20"
428,"Юный патриот","Шумиха","5","1","3","2","9","11:06:59112","20"
429,"Первая Рота","Москва","0","5","5","1","9","11:06:55850","20"
430,"Горды за Родину","пос. Новоколхозное, Неманский р-н","5","2","3","1","9","11:07:54240","20"
431,"Время Первых","Курган","2","2","4","4","8","11:07:02894","20"
432,"Знатоки НГСХА","Нижний Новгород","3","2","3","4","8","11:07:08364","20"
433,"Борисовцы","г.о. Лобня","5","0","3","4","8","11:06:57895","20"
434,"Мы символы России","Лысково","3","4","2","3","8","11:07:16332","20"
435,"Луч","Саратов","4","3","2","3","8","11:07:57335","20"
436,"Адреналин","Киров Калужская область","2","4","4","2","8","11:07:13819","20"
437,"Ювента","д.Яншихово-Челлы Красноармейского района Чувашской Республики","3","3","2","5","7","11:07:26325","20"
438,"Дети капитанаа Врунгеля","Самара","2","4","3","4","7","11:07:30622","20"
439,"Вилка и ложка","Чебоксары","4","2","3","4","7","11:07:38394","20"
440,"ИМПЕР","с. Апанасенковское","5","2","3","3","7","11:07:19642","20"
441,"Мы за мир","ЛНР, Свердловск пгт Калининский","4","4","3","2","7","11:09:07521","20"
442,"Патриоты ЛНР","Краснодон","2","6","4","1","7","11:08:00016","20"
443,"Дети Виссариона","Воронеж","4","2","4","4","6","11:07:03307","20"
444,"Прогресс","Давыдовка","4","3","3","4","6","11:07:25296","20"
445,"Z","Иркутская область. Тайшетский район. село Березовка","4","3","4","3","6","11:07:03730","20"
446,"ПАТРИОТЫ 4 ШКОЛЫ","Новочебоксарск","6","2","3","3","6","11:07:08460","20"
447,"1","Рп Елань-Коленовский","4","7","0","3","6","11:07:42676","20"
448,"Тимуровцы","Елец","6","2","4","2","6","11:07:18470","20"
449,"Интеллектуалы","Нижний Новгород","5","4","3","2","6","11:07:03944","20"
449,"Интеллектуалы","Чаплыгин","5","4","3","2","6","11:07:03944","20"
450,"Активисты","Липецкая область с. Красное","3","3","5","4","5","11:07:01832","20"
451,"Камелот","Саратов","4","2","5","4","5","11:07:42247","20"
452,"Молодежка89","Красноселькуп","5","4","2","4","5","11:06:44232","20"
453,"Голубь мира","Елецкий район","4","3","5","3","5","11:07:18291","20"
454,"Родные просторы","Елецкий район the yu","4","3","5","3","5","11:07:22341","20"
455,"Тыкли","Краснодар","3","6","4","2","5","11:06:19341","20"
456,"Российские патриоты","Радуга","5","4","4","2","5","11:07:07446","20"
457,"Патриоты п.Першино","Тюменская область, Уватский район, п.Першино","5","4","5","1","5","11:07:42941","20"
458,"Знамя","Мытищи","5","5","3","3","4","11:07:12209","20"
459,"Сильные духом","Ишимский район с. Стрехнино","5","4","3","5","3","11:06:46099","20"
460,"Анапский филиал МПГУ","Анапа","5","7","5","2","1","11:07:37006","20"
461,"Почти Эйнштейны","Мончегорск","3","4","2","0","10","11:07:05458","19"
462,"Библиотекарь","Село Доброе Липецкая область","2","1","3","4","9","11:07:31790","19"
463,"Добро","Липецкая область, с. Доброе","3","0","3","4","9","11:07:22240","19"
464,"Альтаир","Ровеньки","4","-1","3","4","9","11:07:15395","19"
465,"39 хаус","Воркута","3","2","3","2","9","11:06:51840","19"
466,"Будь в центре","Тамбов","4","-1","5","3","8","11:07:09188","19"
467,"Мангусты","Сланцы","4","2","2","3","8","11:07:02399","19"
468,"Гайдаровцы","Арзамас","3","5","2","1","8","11:06:31896","19"
469,"Бореевцы","Моршанск","2","4","5","0","8","11:06:58360","19"
470,"eggheads","Антрацит","4","1","3","4","7","11:07:24321","19"
471,"Пытливые умы ГКУ СПДП","Севастополь","4","2","3","3","7","11:07:29880","19"
472,"Патриоты Тоншаево","Тоншаево","5","1","3","3","7","11:07:09879","19"
473,"Медведи","С. Воронино","3","4","2","3","7","11:07:01684","19"
474,"Лютики","п. Гигант","2","5","3","2","7","11:07:37525","19"
475,"Окуневская библиотека №15","с. Окуневка Черноморского района Республики Крым","2","6","4","0","7","11:07:24500","19"
476,"Бобрята","Полярный","3","3","3","4","6","11:07:23002","19"
477,"Байкальская библиотека","село Кабанск","3","3","4","3","6","11:07:32867","19"
478,"8А 84 школа Челябинск","Челябинск","3","4","3","3","6","11:07:14371","19"
479,"Вариант есть всегда","ЕКАТЕРИНБУРГ","4","4","3","2","6","11:07:17310","19"
480,"Орион","Остроленский","4","4","4","1","6","11:07:15409","19"
481,"Вынгапур молодой","Ноябрьск","4","5","3","1","6","11:07:23615","19"
482,"6 Гимназия","Пенза","3","5","5","0","6","11:06:58505","19"
483,"России верные сыны","С. Красное","5","2","3","4","5","11:07:10407","19"
484,"Катюши","Нижний Новгород","5","2","4","3","5","11:08:40898","19"
485,"Меридиан","Чебоксары","4","5","2","3","5","11:07:26489","19"
486,"Инженерка","Пермь","4","7","1","2","5","11:06:56245","19"
487,"Защитники Родины","Павловск Воронежская область","4","6","3","1","5","11:07:32409","19"
488,"МБОУ СШ с. Таремское","Таремское","5","4","3","3","4","11:07:22360","19"
489,"Беркут Беляевский район","с. Беляевка","5","5","2","3","4","11:07:12727","19"
490,"Наследие","Набережные Челны","4","4","5","3","3","11:07:02311","19"
491,"Юнармейский отряд ""Подвиг"", МБОУ гимназия ""УВК №1""","Воронеж","6","5","2","3","3","11:07:37927","19"
492,"ЦДТТ","Тобольск","1","7","6","2","3","11:07:06847","19"
493,"Молодая гвардия","Антрацит","5","5","5","1","3","11:07:22367","19"
494,"Сыны России","с.Верхнедрезгалово","0","0","3","3","12","11:07:12727","18"
495,"Просветители","Чаплыгин","3","3","1","0","11","11:07:13791","18"
496,"Витязи","Ермолино","2","0","3","3","10","11:07:39692","18"
497,"Сова","ЛНР, г.Антрацит","3","0","3","2","10","11:07:20408","18"
498,"МБУК ""Паниковский ЦКД""","Задонский район","2","1","4","1","10","11:07:10120","18"
499,"Дуо","Чебоксары","5","-1","3","1","10","11:07:37480","18"
500,"Рок-эстрада","Полярный","5","0","1","3","9","11:07:31820","18"
501,"Бригантина","Будённовск","0","2","5","2","9","11:07:24665","18"
502,"Полтава","Саратов","2","1","4","2","9","11:07:30230","18"
503,"Патриотки","Калтанский городской округ","5","-1","3","2","9","11:06:28672","18"
504,"Новопетрово","Тюменская область Аромашевский район село Новопетрово","2","3","3","1","9","11:07:21435","18"
505,"Вымпел Гимназия №5","Саратов","4","2","2","1","9","11:07:05084","18"
506,"МБОУ СОШ№1","Ипатово","1","3","3","3","8","11:07:10848","18"
507,"#ЗаДело","Ярцево Смоленская область","2","2","3","3","8","11:06:54160","18"
508,"Могучая пятерка","Орловка","3","1","3","3","8","11:07:26553","18"
509,"МАОУ СОШ №12 г.Ишим","Ишим","3","3","4","0","8","11:07:09095","18"
510,"БУСИНКИ","Шахты","4","1","4","2","7","11:06:31799","18"
511,"Сатурн","Нововоронеж","4","2","3","2","7","11:06:55176","18"
512,"Без вопросов","Липецк","4","2","3","2","7","11:07:01430","18"
513,"Усманцы","Усмань","5","4","0","2","7","11:07:11473","18"
514,"Мы-Казачьи","Данков","3","4","3","1","7","11:08:01426","18"
515,"Слобода Раненбург","Чаплыгин","0","0","6","6","6","11:09:00338","18"
516,"Беркутятки","Новосибирская область","3","4","1","4","6","11:07:32729","18"
517,"Земляки","село Пожарки","2","4","3","3","6","11:07:47220","18"
518,"Шарашкина контора","г. Ворсма","2","5","3","2","6","11:07:00268","18"
519,"Умные ребята","Оренбург","5","2","3","2","6","11:07:16767","18"
520,"Юность","Воронежская область, Новохопeрский район","4","5","2","1","6","11:07:41576","18"
521,"Патриоты п.свх.агроном","П.свх.Агроном","4","0","4","5","5","11:06:58737","18"
522,"Шадов фиенд","Саратов","1","3","5","4","5","11:07:14176","18"
523,"Патриоты","Село Сотниково","2","2","5","4","5","11:07:25594","18"
524,"LawTeam","Ростов-на-Дону","2","3","4","4","5","11:07:12325","18"
525,"Фрунзевцы","Красноперекопск","1","5","3","4","5","11:08:00316","18"
526,"Мафия","Саратов","4","2","3","4","5","11:07:15232","18"
527,"Ласточка","Чебоксары","4","1","5","3","5","11:07:22118","18"
528,"Гимназистки","Советск","4","3","3","3","5","11:07:14989","18"
529,"TXT","Тольятти","5","3","3","2","5","11:07:12534","18"
530,"В ногу со временем 1","Ноябрьск","3","6","2","2","5","11:07:31382","18"
531,"Гангстеры","Мурманск","4","5","2","2","5","11:07:04374","18"
532,"Дети_России_","Поселок Переволоцкий","3","5","4","1","5","11:07:06871","18"
533,"Новое поколение","Абрамовка","3","7","2","1","5","11:07:08298","18"
534,"Смышлённые","Янтиковский район, село Янтиково","3","4","4","3","4","11:07:23351","18"
535,"Сталинград","г. Первомайск","4","5","2","3","4","11:06:55442","18"
536,"Крутые крутышки","Череповец","4","5","2","3","4","11:07:06172","18"
537,"8 Б","Ставрополь","6","3","4","1","4","11:09:07782","18"
538,"Выбор России","рп. Глубокий","1","5","5","4","3","11:07:05556","18"
539,"Сестры","Кызыл","4","5","2","4","3","11:07:11877","18"
540,"МОЛОДАЯ ГВАРДИЯ","Воронеж","4","5","5","1","3","11:07:22367","18"
540,"Молодая гвардия","Мытищи","4","5","5","1","3","11:07:22367","18"
541,"Минькинские патриоты","Мурманск","4","4","4","4","2","11:07:19715","18"
542,"Mitrix style","Село Ивановское","6","4","3","4","1","11:09:35279","18"
543,"Юные россияне","село Омутинское Омутинского района Тюменской области","3","8","5","2","0","11:07:20582","18"
544,"Кадеты 7 б","Чебоксары","0","0","0","2","15","11:07:12238","17"
545,"SOS-актив","Мурманск","4","-1","2","3","9","11:07:00667","17"
546,"Россия","Челябинск","2","0","4","2","9","11:06:54130","17"
547,"Спортсмены","Тюменская область, Уватский район","3","0","3","2","9","11:07:30800","17"
548,"Себеж-Ресурс","Себеж","3","1","2","3","8","11:07:31413","17"
549,"Филиал ФГБОУ ВО ""Кубанский государственный университет"" в г. Новороссийске","Новороссийск","4","0","2","3","8","11:07:00794","17"
550,"Маргеловцы","Красноперекопск","2","4","0","3","8","11:07:54158","17"
551,"Сияние","Апатиты","4","0","3","2","8","11:07:05921","17"
552,"Доброе сердце","Темрюк","3","4","1","1","8","11:06:58829","17"
553,"Пс-21","Железногорск","2","2","5","0","8","11:07:08477","17"
554,"Краснобаковские патриоты","рп Красные Баки","1","3","3","3","7","11:07:09386","17"
555,"Питерские Витязи","Санкт-Петербург","5","1","3","1","7","11:07:01552","17"
556,"Герои из будущего","Село Россошь","5","2","3","0","7","11:07:18981","17"
557,"Хивинские ребята","Кировск","3","1","2","5","6","11:07:32643","17"
558,"МБОУ Озерская СОШ","Озерки","0","4","3","4","6","11:07:28095","17"
559,"Барбоскины","Большие Бикшихи","4","2","2","3","6","11:07:03695","17"
560,"Светлячки Тольятти","Тольятти","5","3","1","2","6","11:06:57688","17"
561,"Российская интеллигенция","Краснолипье","1","5","4","1","6","11:07:39163","17"
562,"ПриСТиж","Прокопьевск","2","6","3","0","6","11:07:32364","17"
563,"Звёздные воины","Воронеж","2","7","2","0","6","11:07:16551","17"
564,"Прорыв","Нововоронеж","3","4","1","4","5","11:07:18749","17"
565,"Катюши","Балахна","3","2","4","3","5","11:08:40898","17"
566,"Бравые ребята","Никольск","5","2","2","3","5","11:06:40400","17"
567,"Великолепная четверка","Моршанск","4","2","4","2","5","11:07:12131","17"
568,"пять плюс один","Ростовская область, ст. Багаевская","5","2","3","2","5","11:07:10647","17"
569,"Мы сила и ум!","Ноябрьск","4","1","4","4","4","11:07:09555","17"
570,"Мозговой десант","Буинск","3","3","3","4","4","11:07:15709","17"
571,"Большекаменская школа","Ровеньки","4","2","4","3","4","11:07:21249","17"
572,"Экспресс","Пенза","5","3","3","2","4","11:07:12671","17"
573,"Пара","Железногорский район Курская область","5","3","2","4","3","11:07:14228","17"
574,"МКОУ СОШ №3 с.Дивное","Село Дивное","3","5","4","2","3","11:07:20303","17"
575,"ЗаПобеду","Чебоксары","5","3","4","2","3","11:07:24056","17"
576,"Три розовых кота","Мухтолово","4","5","4","1","3","11:07:08800","17"
577,"Черноморочки","пгт Черноморское","4","3","5","3","2","11:07:31895","17"
578,"Альтруист","р.п. Ордынское","4","5","4","2","2","11:07:33815","17"
579,"ВПК Исток","Находка","5","4","5","1","2","11:07:20015","17"
580,"ГОАУСОН ""Апатитский КЦСОН""","Апатиты","2","7","4","4","0","0","17"
581,"Патриоты Родины","Красное","5","5","3","4","0","0","17"
582,"Фнатики","Сертолово","4","10","3","0","0","11:07:48456","17"
583,"Соколы","Тольятти","3","0","3","1","9","11:07:05169","16"
584,"The jokers","Ровеньки","3","0","4","0","9","11:07:05582","16"
585,"Наши","с.Мухраново","2","4","1","1","8","11:07:08834","16"
586,"10 класс","Калиновка","1","3","4","1","7","11:07:17483","16"
587,"Монолит","с. Новопавловка Большеглушицкого района Самарской области","2","2","4","1","7","11:07:03753","16"
588,"Магнитная аномалия","п.Магнитный","2","3","3","1","7","11:07:09951","16"
589,"Высокий ICQ","Свердловск","3","4","2","0","7","11:07:26487","16"
590,"Патриоты страны ГООШ","Гагаринское","4","4","0","2","6","11:08:46240","16"
591,"Веселые","п.Кадуй","3","3","3","1","6","11:07:34584","16"
592,"Бриз","Новоалександровск","4","2","3","1","6","11:07:01904","16"
593,"Один на всех","Село Арзгир","3","4","3","0","6","11:07:06066","16"
594,"Солнышко","Чебоксары","3","4","3","0","6","11:07:20900","16"
595,"Магточка","Магадан","3","3","4","1","5","11:07:01943","16"
596,"Смелые Орлята","Старощербиновская","4","2","3","3","4","11:07:06433","16"
597,"Сосновские","Сосновское","3","4","2","3","4","11:07:19290","16"
598,"Патриоты_72","село Алымка","3","5","1","3","4","11:07:26783","16"
599,"Пётр Константинович","Новокуйбышевск","2","4","4","2","4","11:07:15512","16"
600,"ЦМИшки","Нефтеюганск","3","5","3","1","4","11:09:25360","16"
601,"Умные филины","Воткинск","2","8","1","1","4","11:07:06691","16"
602,"Дипломаты","Ровеньки","3","2","3","5","3","11:07:21036","16"
603,"Галактика 50","Саратов","4","2","2","5","3","11:07:11473","16"
604,"Красное знамя","г. Воронеж","4","4","4","1","3","11:07:07404","16"
605,"Котята","Армавир","5","3","5","0","3","11:07:28431","16"
606,"Большемурашкинцы","Нижегородская область р.п. Большое Мурашкино","5","3","4","3","1","11:07:42774","16"
607,"патриотики","мичуринск","1","6","5","4","0","0","16"
608,"Мы просто посмотреть","Лабытнанги","6","4","4","2","0","11:04:03004","16"
609,"Герои Пестравки","с. Пестравка","3","7","5","3","-2","11:07:18348","16"
610,"Головомюсли","Прокопьевск","4","-5","4","3","9","11:07:17090","15"
611,"Волонтёры Культуры","Владимир","1","2","2","2","8","11:07:00930","15"
612,"Созвездие Королёва","Тольятти","3","0","2","2","8","11:07:03500","15"
613,"Знаем всё","Чернава","1","2","4","0","8","11:07:38825","15"
614,"Просто КОМАНДА","Челябинск","0","2","4","2","7","11:07:02761","15"
615,"Тотали спайс","Острогожск","2","2","4","0","7","11:07:11945","15"
616,"МЛСЧ","Беловский р-н","3","0","2","4","6","11:07:53541","15"
617,"Единство","Село Кировское","4","0","2","3","6","11:07:46653","15"
618,"Правые","п. Кадуй","2","2","3","2","6","11:07:52594","15"
619,"Вспышка","Пенза","4","1","2","2","6","11:07:28365","15"
620,"Огонёк","Орск","3","1","5","0","6","11:07:14724","15"
621,"Fey","Сертолово","3","3","3","0","6","11:07:31111","15"
622,"ОК","Курганская область г. Катайск","3","2","3","2","5","11:07:03587","15"
623,"Синева","Тотьма","4","2","3","1","5","11:07:07789","15"
624,"Мы едины","Новокуйбышевск","4","2","3","1","5","11:07:11154","15"
625,"Уран","Ливны","6","0","3","1","5","11:07:04036","15"
626,"Верные друзья","Село Терновое","4","4","0","3","4","11:07:13617","15"
627,"Вместе навсегда","ЛНР, город Свердловск, пгт Калининский.","3","3","4","1","4","11:07:18970","15"
628,"Своих не бросаем","Филиал МБОУ СОШ с. Донское в селе Скорняково","4","3","3","1","4","11:07:23756","15"
629,"Парус","Новосёловский район,Бараит","5","2","3","1","4","11:07:13279","15"
630,"Следопыты с улицы краснознаменной","Воронеж","3","2","4","3","3","11:07:24600","15"
631,"Рябинушка","р.п. Варгаши","5","0","4","3","3","11:07:08669","15"
632,"Константиновск номер 2","Константиновск","4","2","4","2","3","11:07:08175","15"
633,"Наследники победы","Курск","3","5","2","2","3","11:07:12382","15"
634,"Чёрная банда","Краснодар","4","4","3","1","3","11:07:01885","15"
635,"Лунастеры","Сланцы","3","6","2","1","3","11:07:12390","15"
636,"Природный дар","Ишим","3","6","2","2","2","11:06:57167","15"
637,"Эверест","Размазлей","3","5","5","0","2","11:07:24208","15"
638,"Колобки","рп. Чернь","4","6","2","2","1","11:07:06611","15"
639,"Молодёжный коворкинг центр г. ТОСНОzh","Тосно","4","7","3","0","1","11:07:22262","15"
640,"Истоки","Калач","5","2","3","5","0","0","15"
641,"93-е патриоты","Тольятти","0","1","3","0","10","11:06:35906","14"
642,"Молодой Ранкбург","Чаплыгин","0","0","0","5","9","11:07:29252","14"
643,"Кардиналы","пгт. Новодарьевка","2","1","2","1","8","11:07:23527","14"
644,"Что.Мы.Такое?!","Беринговский","3","0","3","1","7","11:06:59614","14"
645,"Радуга","город Первомайск","5","-2","3","1","7","11:07:23812","14"
